"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-01","54",",,7","45",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-02","58",",,7","48",",,7","52",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-03","57",",,7","51",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-04","56",",,7","48",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-05","61",",,7","47",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-06","57",",,7","48",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-07","66",",,7","51",",,7","62",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-08","66",",,7","51",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-09","68",",,7","48",",,7","56",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-10","65",",,7","50",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-11","66",",,7","48",",,7","60",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-12","65",",,7","50",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-13","62",",,7","49",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-14","62",",,7","45",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-15","60",",,7","46",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-16","62",",,7","46",",,7","48",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-17","53",",,7","46",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-18","56",",,7","47",",,7","47",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-19","51",",,7","46",",,7","47",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-20","63",",,7","42",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-21","61",",,7","44",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-22","65",",,7","44",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-23","69",",,7","49",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-24","61",",,7","47",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-25","58",",,7","47",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-26","57",",,7","47",",,7","47",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-27","61",",,7","42",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-28","56",",,7","46",",,7","48",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-29","54",",,7","47",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-30","53",",,7","47",",,7","48",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-01-31","54",",,7","48",",,7","54",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-01","59",",,7","53",",,7","58",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-02","58",",,7","57",",,7","58",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-03","61",",,7","55",",,7","55",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-04","59",",,7","46",",,7","46",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-05","55",",,7","42",",,7","47",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-06","60",",,7","44",",,7","49",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-07","56",",,7","47",",,7","47",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-08","55",",,7","43",",,7","47",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-09","56",",,7","42",",,7","45",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-10","57",",,7","42",",,7","45",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-11","52",",,7","42",",,7","45",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-12","53",",,7","45",",,7","51",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-13","58",",,7","49",",,7","53",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-14","55",",,7","48",",,7","48",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-15","59",",,7","44",",,7","50",",,7,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2025-02-16","60",",,7","47",",,7","50",",,7,2400"
